Shipment ID,Shipment Date,Customer,Origin State,Destination State,Service Level,Parcel Type,Weight (kg),Length (cm),Width (cm),Height (cm),Selling Price (RM)
JEN1000000103MY,21-Jul-26,Lee,Pahang,Sabah,Economy,Small,0.91,23,15,7,8
JEN1000000104MY,21-Jul-26,Ahmad,Perak,Perak,Economy,Small,0.58,16,13,7,8
JEN1000000105MY,21-Jul-26,Hafiz,Pahang,Johor,Economy,Small,0.46,22,14,10,8
JEN1000000106MY,21-Jul-26,Siti,Perak,Selangor,Economy,Small,1.68,19,13,7,8
JEN1000000107MY,21-Jul-26,Zana,Perak,WPKL,Economy,Small,1.45,17,14,2,8
JEN1000000108MY,21-Jul-26,Ahmad,Pahang,Perak,Economy,Small,1.43,17,20,9,8
JEN1000000109MY,21-Jul-26,Zana,WPKL,Perak,Economy,Small,0.99,22,15,4,8
JEN1000000110MY,21-Jul-26,Ahmad,Perak,Kelantan,Economy,Small,0.32,16,16,9,8
JEN1000000111MY,21-Jul-26,Lim,WPKL,Johor,Economy,Small,0.38,24,14,3,8
JEN1000000112MY,21-Jul-26,Aina,Selangor,Pahang,Economy,Small,1.55,24,19,5,8
JEN1000000113MY,21-Jul-26,Tan,Sarawak,Kelantan,Economy,Small,1.83,19,19,8,8
JEN1000000114MY,21-Jul-26,Tan,WPKL,Selangor,Economy,Small,1.9,18,20,5,8
JEN1000000115MY,21-Jul-26,Zana,Selangor,Johor,Economy,Small,0.56,23,11,4,8
JEN1000000116MY,21-Jul-26,Lim,Sarawak,Kelantan,Economy,Small,1.41,22,14,2,8
JEN1000000117MY,21-Jul-26,Tan,Perak,Perak,Economy,Small,1.44,22,11,5,8
JEN1000000118MY,21-Jul-26,Tan,Penang,Sarawak,Economy,Small,0.32,18,20,4,8
JEN1000000119MY,21-Jul-26,Lee,Johor,Selangor,Economy,Small,0.21,19,19,6,8
JEN1000000120MY,21-Jul-26,Aina,Selangor,Kelantan,Economy,Small,1.41,21,14,10,8
JEN1000000121MY,21-Jul-26,Hafiz,Kelantan,Kelantan,Economy,Small,0.25,15,16,7,8
JEN1000000122MY,21-Jul-26,Tan,Perak,WPKL,Economy,Small,0.27,25,19,2,8
JEN1000000123MY,21-Jul-26,Siti,WPKL,Johor,Economy,Small,0.99,25,17,6,8
JEN1000000124MY,21-Jul-26,Raj,Sarawak,Kelantan,Economy,Small,1.94,22,15,8,8
JEN1000000125MY,21-Jul-26,Tan,Sabah,Selangor,Economy,Small,1.73,20,16,9,8
JEN1000000126MY,21-Jul-26,Raj,Sarawak,Pahang,Economy,Small,0.17,16,15,6,8
JEN1000000127MY,21-Jul-26,Lee,Selangor,Sarawak,Economy,Small,1.74,15,20,10,8
JEN1000000128MY,21-Jul-26,Lee,Sarawak,WPKL,Economy,Small,0.46,20,19,9,8
JEN1000000129MY,21-Jul-26,Lee,WPKL,Penang,Economy,Small,0.61,17,14,9,8
JEN1000000130MY,21-Jul-26,Tan,Selangor,WPKL,Economy,Small,1.95,24,13,4,8
JEN1000000131MY,21-Jul-26,Lee,Pahang,WPKL,Economy,Small,1.15,16,13,3,8
JEN1000000132MY,21-Jul-26,Nurul,Selangor,Johor,Economy,Small,1.05,19,18,6,8
JEN1000000133MY,21-Jul-26,Lim,Kelantan,Kelantan,Economy,Small,0.56,23,12,8,8
JEN1000000134MY,21-Jul-26,Aina,Pahang,Johor,Economy,Small,1.74,19,16,7,8
JEN1000000135MY,21-Jul-26,Siti,Perak,WPKL,Economy,Small,0.64,19,19,9,8
JEN1000000136MY,21-Jul-26,Nurul,Kelantan,Pahang,Economy,Small,1.02,20,18,10,8
JEN1000000137MY,21-Jul-26,Lim,Kelantan,Sabah,Economy,Small,1.75,18,19,8,8
JEN1000000138MY,21-Jul-26,Siti,Sarawak,WPKL,Economy,Small,0.7,22,16,8,8
JEN1000000139MY,21-Jul-26,Lee,Kelantan,WPKL,Economy,Small,0.34,24,15,3,8
JEN1000000140MY,21-Jul-26,Siti,Selangor,Pahang,Economy,Small,1.83,15,12,8,8
JEN1000000141MY,21-Jul-26,Ahmad,Selangor,Kelantan,Economy,Small,1.58,19,15,8,8
JEN1000000142MY,21-Jul-26,Aina,Sabah,Pahang,Economy,Small,0.82,20,20,9,8
JEN1000000143MY,21-Jul-26,Ahmad,WPKL,Selangor,Economy,Small,0.55,25,14,5,8
JEN1000000144MY,21-Jul-26,Tan,Sarawak,Selangor,Economy,Small,1.54,16,17,4,8
JEN1000000145MY,21-Jul-26,Raj,WPKL,WPKL,Economy,Small,0.72,15,14,7,8
JEN1000000146MY,21-Jul-26,Siti,Sarawak,Johor,Economy,Small,0.56,21,19,4,8
JEN1000000147MY,21-Jul-26,Lee,Johor,Selangor,Economy,Small,1.26,21,19,5,8
JEN1000000148MY,21-Jul-26,Zana,Johor,Penang,Economy,Small,0.98,19,17,6,8
JEN1000000149MY,21-Jul-26,Raj,Kelantan,Perak,Economy,Small,1.39,17,11,9,8
JEN1000000150MY,21-Jul-26,Nurul,Perak,Sarawak,Economy,Small,1.41,22,14,5,8
JEN1000000151MY,21-Jul-26,Tan,Kelantan,Selangor,Economy,Small,0.55,24,15,6,8
JEN1000000152MY,21-Jul-26,Hafiz,WPKL,Sarawak,Economy,Small,0.62,24,20,2,8
JEN1000000153MY,21-Jul-26,Lim,Kelantan,Perak,Economy,Small,1.57,18,19,7,8
JEN1000000154MY,21-Jul-26,Ahmad,Penang,Perak,Economy,Small,1.39,25,20,4,8
JEN1000000155MY,21-Jul-26,Siti,WPKL,Perak,Economy,Small,1.6,15,19,7,8
JEN1000000156MY,21-Jul-26,Siti,Selangor,Perak,Economy,Small,0.72,21,12,5,8
JEN1000000157MY,21-Jul-26,Lee,Pahang,Sabah,Economy,Small,1.11,19,12,6,8
JEN1000000158MY,21-Jul-26,Lim,Perak,Sabah,Economy,Small,1.63,22,11,4,8
JEN1000000159MY,21-Jul-26,Aina,Sarawak,Pahang,Economy,Small,0.79,21,10,6,8
JEN1000000160MY,21-Jul-26,Raj,Selangor,Kelantan,Economy,Small,0.8,25,14,8,8
JEN1000000161MY,21-Jul-26,Hafiz,Selangor,Penang,Economy,Small,1,24,18,7,8
JEN1000000162MY,21-Jul-26,Ahmad,Penang,Selangor,Economy,Small,1.31,22,14,8,8
JEN1000000163MY,21-Jul-26,Ahmad,Johor,WPKL,Economy,Small,1.9,19,17,3,8
JEN1000000164MY,21-Jul-26,Nurul,Penang,Pahang,Economy,Small,0.36,22,15,10,8
JEN1000000165MY,21-Jul-26,Tan,Johor,Sarawak,Economy,Small,1.34,22,19,8,8
JEN1000000166MY,21-Jul-26,Ahmad,WPKL,Sabah,Economy,Small,0.51,22,13,7,8
JEN1000000167MY,21-Jul-26,Nurul,Sabah,Pahang,Economy,Small,1.81,25,15,2,8
JEN1000000168MY,21-Jul-26,Hafiz,Perak,Penang,Economy,Small,1.94,22,11,5,8
JEN1000000169MY,21-Jul-26,Ahmad,WPKL,WPKL,Economy,Small,1.59,18,12,5,8
JEN1000000170MY,21-Jul-26,Hafiz,Pahang,Penang,Economy,Small,1.21,18,15,4,8
JEN1000000171MY,21-Jul-26,Tan,WPKL,Perak,Economy,Small,1.73,17,12,10,8
JEN1000000172MY,21-Jul-26,Raj,Johor,Selangor,Economy,Small,1.36,15,12,2,8
JEN1000000173MY,21-Jul-26,Nurul,Penang,Sabah,Economy,Small,0.13,19,10,4,8
JEN1000000174MY,21-Jul-26,Aina,Pahang,Selangor,Economy,Small,1.52,22,17,7,8
JEN1000000175MY,21-Jul-26,Tan,Selangor,Kelantan,Economy,Small,1.06,24,10,10,8
JEN1000000176MY,21-Jul-26,Ahmad,Kelantan,WPKL,Economy,Small,0.22,22,16,8,8
JEN1000000177MY,21-Jul-26,Ahmad,Kelantan,Kelantan,Economy,Small,0.24,16,15,4,8
JEN1000000178MY,21-Jul-26,Nurul,Johor,Perak,Economy,Small,1.29,24,18,7,8
JEN1000000179MY,21-Jul-26,Ahmad,Pahang,Perak,Economy,Small,0.96,24,16,3,8
JEN1000000180MY,21-Jul-26,Lee,Pahang,Penang,Economy,Small,0.92,18,16,7,8
JEN1000000181MY,21-Jul-26,Tan,Sarawak,Sarawak,Economy,Small,1.49,20,16,7,8
JEN1000000182MY,21-Jul-26,Ahmad,Sabah,Johor,Economy,Small,1.4,22,11,3,8
JEN1000000183MY,21-Jul-26,Zana,Selangor,Sarawak,Economy,Small,0.28,20,12,10,8
JEN1000000184MY,21-Jul-26,Nurul,Pahang,Pahang,Economy,Small,0.73,16,16,7,8
JEN1000000185MY,21-Jul-26,Lim,WPKL,Perak,Economy,Small,1.24,20,11,10,8
JEN1000000186MY,21-Jul-26,Raj,Johor,Kelantan,Economy,Small,0.53,16,15,10,8
JEN1000000187MY,21-Jul-26,Zana,Selangor,Perak,Economy,Small,1.19,21,18,10,8
JEN1000000188MY,21-Jul-26,Zana,Perak,WPKL,Economy,Small,0.44,19,15,7,8
JEN1000000189MY,21-Jul-26,Zana,Johor,Johor,Economy,Small,1.18,21,11,4,8
JEN1000000190MY,21-Jul-26,Siti,Selangor,Pahang,Economy,Small,0.51,21,17,7,8
JEN1000000191MY,21-Jul-26,Zana,Sabah,Perak,Economy,Small,1.47,24,19,3,8
JEN1000000192MY,21-Jul-26,Tan,Johor,Johor,Economy,Small,1.53,15,20,3,8
JEN1000000193MY,21-Jul-26,Lim,Kelantan,Sarawak,Economy,Small,1.02,22,16,6,8
JEN1000000194MY,21-Jul-26,Aina,Pahang,Selangor,Economy,Small,0.76,16,14,9,8
JEN1000000195MY,21-Jul-26,Lim,Perak,WPKL,Economy,Small,0.52,24,10,2,8
JEN1000000196MY,21-Jul-26,Ahmad,Perak,Penang,Economy,Small,1.56,19,14,7,8
JEN1000000197MY,21-Jul-26,Aina,WPKL,Kelantan,Economy,Small,1.52,17,12,8,8
JEN1000000198MY,21-Jul-26,Nurul,Penang,Pahang,Economy,Small,1.16,25,15,3,8
JEN1000000199MY,21-Jul-26,Hafiz,WPKL,Sarawak,Economy,Small,0.14,16,15,8,8
JEN1000000200MY,21-Jul-26,Siti,Sarawak,Sarawak,Economy,Small,0.65,21,10,7,8
JEN1000000201MY,21-Jul-26,Hafiz,Kelantan,Sabah,Economy,Small,0.27,16,13,8,8
JEN1000000202MY,21-Jul-26,Raj,Sarawak,Pahang,Economy,Small,0.25,19,15,5,8
JEN1000000203MY,21-Jul-26,Lim,Johor,Selangor,Economy,Small,1.07,16,18,10,8
JEN1000000204MY,21-Jul-26,Ahmad,Sabah,Sabah,Economy,Small,1.48,25,12,5,8
JEN1000000205MY,21-Jul-26,Siti,Johor,Perak,Economy,Small,0.47,24,12,3,8
JEN1000000206MY,21-Jul-26,Raj,Kelantan,Kelantan,Economy,Small,1.53,24,17,7,8
JEN1000000207MY,21-Jul-26,Tan,Johor,Kelantan,Economy,Small,0.23,22,20,6,8
JEN1000000208MY,21-Jul-26,Zana,WPKL,Sabah,Economy,Small,1.06,19,17,9,8
JEN1000000209MY,21-Jul-26,Hafiz,WPKL,Sabah,Economy,Small,1.68,16,20,3,8
JEN1000000210MY,21-Jul-26,Hafiz,Pahang,Sarawak,Economy,Small,0.98,23,10,9,8
JEN1000000211MY,21-Jul-26,Lee,Penang,Sabah,Economy,Small,1.25,23,12,2,8
JEN1000000212MY,21-Jul-26,Zana,Selangor,Sabah,Economy,Small,1.97,16,18,4,8
JEN1000000213MY,21-Jul-26,Raj,Penang,Kelantan,Economy,Small,1.98,23,18,4,8
JEN1000000214MY,21-Jul-26,Raj,Sabah,Perak,Economy,Small,0.84,20,20,2,8
JEN1000000215MY,21-Jul-26,Tan,Selangor,Sabah,Economy,Small,0.28,25,16,6,8
JEN1000000216MY,21-Jul-26,Tan,Johor,Sabah,Economy,Small,0.25,25,12,7,8
JEN1000000217MY,21-Jul-26,Nurul,Sarawak,Johor,Economy,Small,1.23,16,14,10,8
JEN1000000218MY,21-Jul-26,Nurul,Sabah,Johor,Economy,Small,1.37,25,18,3,8
JEN1000000219MY,21-Jul-26,Raj,Pahang,Sabah,Economy,Small,0.13,19,12,5,8
JEN1000000220MY,21-Jul-26,Tan,Kelantan,Penang,Economy,Small,0.53,17,12,3,8
JEN1000000221MY,21-Jul-26,Hafiz,Selangor,Pahang,Economy,Small,1.56,23,10,7,8
JEN1000000222MY,21-Jul-26,Lee,Johor,Sarawak,Economy,Small,0.39,17,19,4,8
JEN1000000223MY,21-Jul-26,Lee,WPKL,Sarawak,Economy,Small,0.79,18,17,6,8
JEN1000000224MY,21-Jul-26,Hafiz,Penang,Pahang,Economy,Small,0.55,22,13,7,8
JEN1000000225MY,21-Jul-26,Nurul,Kelantan,Kelantan,Economy,Small,1.56,21,18,10,8
JEN1000000226MY,21-Jul-26,Lee,Johor,Penang,Economy,Small,1.62,17,14,2,8
JEN1000000227MY,21-Jul-26,Ahmad,Sabah,Pahang,Economy,Small,1.88,23,11,6,8
JEN1000000228MY,21-Jul-26,Ahmad,Johor,Perak,Economy,Small,0.95,23,12,8,8
JEN1000000229MY,21-Jul-26,Nurul,Penang,Kelantan,Economy,Small,1.78,15,16,2,8
JEN1000000230MY,21-Jul-26,Zana,Pahang,Sabah,Economy,Small,0.55,16,15,5,8
JEN1000000231MY,21-Jul-26,Siti,Sabah,Selangor,Economy,Small,1.69,25,15,4,8
JEN1000000232MY,21-Jul-26,Lee,WPKL,Perak,Economy,Small,1.84,22,12,9,8
JEN1000000233MY,21-Jul-26,Hafiz,WPKL,Selangor,Economy,Small,0.14,18,12,10,8
JEN1000000234MY,21-Jul-26,Ahmad,Pahang,Sarawak,Economy,Small,0.31,19,13,6,8
JEN1000000235MY,21-Jul-26,Ahmad,WPKL,Penang,Economy,Small,0.9,24,17,3,8
JEN1000000236MY,21-Jul-26,Siti,Kelantan,Pahang,Economy,Small,0.13,23,19,5,8
JEN1000000237MY,21-Jul-26,Siti,Perak,Sarawak,Economy,Small,0.1,20,13,8,8
JEN1000000238MY,21-Jul-26,Aina,Selangor,Pahang,Economy,Small,1.95,16,18,10,8
JEN1000000239MY,21-Jul-26,Raj,Pahang,Pahang,Economy,Small,0.14,22,10,8,8
JEN1000000240MY,21-Jul-26,Ahmad,Perak,WPKL,Economy,Small,0.78,16,15,5,8
JEN1000000241MY,21-Jul-26,Lee,Sabah,Johor,Economy,Small,0.18,23,15,4,8
JEN1000000242MY,21-Jul-26,Tan,Kelantan,Johor,Economy,Small,1.64,16,17,2,8
JEN1000000243MY,21-Jul-26,Aina,Penang,WPKL,Economy,Small,1.6,15,15,6,8
JEN1000000244MY,21-Jul-26,Tan,Sarawak,Pahang,Economy,Small,1,15,20,5,8
JEN1000000245MY,21-Jul-26,Raj,Sabah,WPKL,Economy,Small,1.75,20,14,3,8
JEN1000000246MY,21-Jul-26,Lee,Sarawak,Sarawak,Economy,Small,1.51,21,15,4,8
JEN1000000247MY,21-Jul-26,Nurul,Kelantan,Sabah,Economy,Small,1.86,23,14,3,8
JEN1000000248MY,21-Jul-26,Raj,Selangor,Sarawak,Economy,Small,1.24,17,18,6,8
JEN1000000249MY,21-Jul-26,Hafiz,Selangor,Selangor,Economy,Small,0.72,19,14,9,8
JEN1000000250MY,21-Jul-26,Raj,Sarawak,Johor,Economy,Small,1.41,20,17,2,8
JEN1000000251MY,21-Jul-26,Raj,Sarawak,Perak,Economy,Small,1.31,15,11,8,8
JEN1000000252MY,21-Jul-26,Zana,Pahang,Johor,Economy,Small,1.91,17,19,9,8
JEN1000000253MY,21-Jul-26,Nurul,Johor,Selangor,Economy,Small,0.55,25,15,7,8
JEN1000000254MY,21-Jul-26,Ahmad,WPKL,Johor,Economy,Small,1.39,20,15,9,8
JEN1000000255MY,21-Jul-26,Lim,Johor,Pahang,Economy,Small,0.8,20,20,6,8
JEN1000000256MY,21-Jul-26,Aina,Selangor,WPKL,Economy,Small,1.5,22,18,8,8
JEN1000000257MY,21-Jul-26,Lee,Selangor,Perak,Economy,Small,1.57,22,13,6,8
JEN1000000258MY,21-Jul-26,Lee,Penang,Selangor,Economy,Small,0.36,16,17,4,8
JEN1000000259MY,21-Jul-26,Tan,Selangor,Sabah,Economy,Small,1.37,16,18,10,8
JEN1000000260MY,21-Jul-26,Aina,Perak,Johor,Economy,Small,1.45,25,12,7,8
JEN1000000261MY,21-Jul-26,Zana,Penang,Selangor,Economy,Small,1.97,17,13,9,8
JEN1000000262MY,21-Jul-26,Hafiz,Sabah,Pahang,Economy,Small,1.19,22,18,4,8
JEN1000000263MY,21-Jul-26,Nurul,Selangor,Selangor,Economy,Small,0.69,22,18,8,8
JEN1000000264MY,21-Jul-26,Lee,Selangor,Johor,Economy,Small,1.95,25,11,9,8
JEN1000000265MY,21-Jul-26,Siti,Pahang,Sabah,Economy,Small,0.34,23,20,4,8
JEN1000000266MY,21-Jul-26,Siti,Sarawak,Pahang,Economy,Small,1.83,15,11,10,8
JEN1000000267MY,21-Jul-26,Tan,Perak,Johor,Economy,Small,0.41,18,15,10,8
JEN1000000268MY,21-Jul-26,Tan,Selangor,Perak,Economy,Small,0.47,23,14,4,8
JEN1000000269MY,21-Jul-26,Siti,Pahang,Selangor,Economy,Small,1.05,17,19,4,8
