Vehicle ID,Vehicle Type,Category,Fuel Type,Max Weight (kg),Max Volume (m³),Max Parcels,Avg Speed (km/h),State,Region Availability,Average Parcel Per Item,Status
MC153,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC154,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC155,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC156,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC157,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC158,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC159,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC160,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC161,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC162,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC163,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC164,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC165,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC166,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC167,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC168,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC169,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC170,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC171,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC172,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC173,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC174,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC175,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC176,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC177,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC178,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC179,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC180,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC181,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC182,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC183,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC184,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC185,Motorcycle,Road,Petrol,30,0.15,60,60,Pahang,Peninsular,0.5,Active
MC186,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC187,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC188,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC189,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC190,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC191,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC192,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC193,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC194,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC195,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC196,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC197,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC198,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC199,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC200,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC201,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC202,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC203,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC204,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC205,Motorcycle,Road,Petrol,30,0.15,60,60,Terengganu,Peninsular,0.5,Active
MC206,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC207,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC208,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC209,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC210,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC211,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC212,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC213,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC214,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC215,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC216,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC217,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC218,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC219,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC220,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC221,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC222,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC223,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC224,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC225,Motorcycle,Road,Petrol,30,0.15,60,60,Kelantan,Peninsular,0.5,Active
MC226,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC227,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC228,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC229,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC230,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC231,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC232,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC233,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC234,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC235,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC236,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC237,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC238,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC239,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC240,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC241,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC242,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC243,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC244,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC245,Motorcycle,Road,Petrol,30,0.15,60,60,Sabah,Sabah,0.5,Active
MC246,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC247,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC248,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC249,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC250,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC251,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC252,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC253,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC254,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC255,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC256,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC257,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC258,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC259,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC260,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC261,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC262,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC263,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC264,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
MC265,Motorcycle,Road,Petrol,30,0.15,60,60,Sarawak,Sarawak,0.5,Active
VAN001,Van,Road,Diesel,"1,000",5,200,70,Perlis,Peninsular,5,Active
VAN002,Van,Road,Diesel,"1,000",5,200,70,Perlis,Peninsular,5,Active
VAN003,Van,Road,Diesel,"1,000",5,200,70,Perlis,Peninsular,5,Active
VAN004,Van,Road,Diesel,"1,000",5,200,70,Perlis,Peninsular,5,Active
VAN005,Van,Road,Diesel,"1,000",5,200,70,Perlis,Peninsular,5,Active
VAN006,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN007,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN008,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN009,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN010,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN011,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN012,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN013,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN014,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN015,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN016,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN017,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN018,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN019,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN020,Van,Road,Diesel,"1,000",5,200,70,Kedah,Peninsular,5,Active
VAN021,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN022,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN023,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN024,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN025,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN026,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
VAN027,Van,Road,Diesel,"1,000",5,200,70,Pulau Pinang,Peninsular,5,Active
